HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,eldaris,elbarto,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,xblaine,hallmark,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,agazapado,fkishadow,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,amyks,swaggyg,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,pietzu10,thijsnl,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,klasus,robbstark,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,leta,taesuk,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,j4ckiechan,nomlix,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,kucha,juristis,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,greensheep,amaze,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,kykounet,faeli,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,radion,zuhex,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,findan,khal,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,manolo20,neirea,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,fractal,драконтеней,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,boarcontrol,blacksock,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,pepe,raven,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,blackhole,chatthon,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,melon,zlofany,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,crazyrush,zridex,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,atds25,kjfrank,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,smaug,pawlaczgmd,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,rol,nazgul,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,kevril83,rase,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,murderblast,losthead,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,riskipanda,qwdrg0d,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,tars,ikealyou,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,wot,americano,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,blank,weghuz,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,gr8m8ir880f8,d3n0r,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,havajsmurf,iamthanh,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,crushedegos,koma4ka,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,rogue,kycoo,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,tsibou,lucken,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,vertov,ivanhs,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,hugo,sevant,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,edmvyrus,zyrios,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,blackout,freddycactus,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,jackofblades,rellow,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,setfireyt,drujbanul,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,mojo,naiman,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,shorty,deathboose,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,kolmari,teebs,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,ajmer,ilusha,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,sonofwar,nickchipper,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,alexr28,karminator,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,yurka,muzzy,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,exilessmath,monkeloid,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,macg,savvat,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,rostovmax,ayrok,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,stappen,ruby,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,flix,inramous,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,kamaretai,j4you,2,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,aimar13,nyrf,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,xalax,alxjan7,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,powder,darkology,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,bouncyknight,noraah,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,tauren,technogoose,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,dropdead,offerrall,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,juanma13mp,jimmyraynor,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,talion,ramekiano,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,napstablook,moneyz,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,truebee,xqualitydark,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,bequiet,fapbonobo,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,matff,khamûl,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,gerbawa,insom,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,nightingale,oster,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,julemanddk,oloninho,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,nuralkar,tomof,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,cerberus07,starkprimera,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,baggio,nethervoides,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,kolbein,spinalogaman,0,3
