"battletag","class","deckstring"
"NoName#13139","WARRIOR","  AAECAQcKkwTTxQKixwLPxwLD6gKa7gKS+AKe+AKD+wKggAMKS6ICogTeBf8Hm8ICyucC4vgCjvsCnvsCAA== "
"NoName#13139","SHAMAN","  AAECAaoICPsM08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4F/wWyBpfBAsfBApvLAvPnAu/xAgA= "
"NoName#13139","DRUID","  AAECAZICBMLOAq/TAo3mAvHqAg1AX+kB5AjJxwKU0gKY0gKe0gLm0wKL4QKE5gLd6wKN8AIA "
"Thomm#1591","WARLOCK","  AAECAf0GBMrDApziAu/xAo+CAw0whAH3BM4Hwgj3DJvLAp/OAvLQAtHhAofoAvT3AtP4AgA= "
"Thomm#1591","DRUID","  AAECAZICCFa0A8UE3gWZ0wKb6ALk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA "
"Thomm#1591","ROGUE","  AAECAaIHBq8E1AXKywKe+ALi+AL6/gIMjALLA/MF9QXdCIHCAp/CAuvCAtHhAovlAqbvAsf4AgA= "
"Thomm#1591","MAGE","  AAECAf0EBHGrBKLTAu72Ag27ApUDtATmBJYF7AW/wQLBwQKYxAKP0wL77AKV/wK5/wIA "
"Iner#2925","DRUID","  AAECAZICBsLOAq/TAubTAo3mAvHqAt3rAgxAX+kBxAbkCMnHApTSApjSAp7SAovhAoTmAo3wAgA= "
"Iner#2925","ROGUE","  AAECAaIHCMgDiAeoCIHCAtPFAoDTAsvsArvvAgvEAcsDzQP2BJsFhgmpzQKxzgLl0QLb4wKi9wIA "
"Iner#2925","PALADIN","  AAECAZ8FCtPFAojHAqDOAqvQAo7TArfpAoT8Atn+AvH+AqCAAwrcA/QFzwb2B90Km8ICpfUC4f4CkYADzIEDAA== "
"Iner#2925","HUNTER","  AAECAR8K+AjtCcrDAtPFApvLAobTApziArbqAsvsAoDzAgqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA== "
"VirtuozZ#2462","ROGUE","  AAECAaIHBpsF/MEChsICgNMCz+ECw+oCDMQBnALtAp8DiAXUBYYJl8ECx9MC2+MC9uwC4vgCAA== "
"VirtuozZ#2462","HUNTER","  AAECAR8MRN4F+AjKwwLTxQKG0wKc4gK26gLL7AKA8wK5+ALi+AIJjQGXCKvCAtjCApzNAt3SAovhAuHjAvLxAgA= "
"VirtuozZ#2462","SHAMAN","  AAECAaoICPsM08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4F/wWyBpfBAsfBApvLAvPnAu/xAgA= "
"VirtuozZ#2462","DRUID","  AAECAZICClbeBe0FxAbTxQKZ0wKb6AL96wKa7gLk+wIKQF/pAeQIoM0Ch84CmNICntIC29MCv/ICAA== "
"Glaser#2196","PALADIN","  AAECAZ8FBK8E/eoCnvgC4vgCDUbzBfkK68ICg8cCuMcC48sC+9MC0eEC1uUCteYC9v0C1v4CAA== "
"Glaser#2196","ROGUE","  AAECAYO6AgayAq8En8IC/eoCnvgC5/oCDIwCywPUBfMF9QXdCIHCAuvCAtHhAovlAqbvAuL4AgA= "
"Glaser#2196","DRUID","AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA"
"Glaser#2196","WARLOCK","  AAECAf0GBK8EnOIC7/ECj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA= "
"SilverName#2136","WARLOCK","AAECAf0GBpMEycICl9MCneIC2+kCnPgCDIoB9wS2B+EH58sC8tAC+NACiNICi+EC2OUC/OUC6OcCAA=="
"SilverName#2136","HUNTER","AAECAR8G+AjTxQKG0wK26gKA8wK09gIMjQGXCKvCAtjCApzNAt3SAovhAuHjAsvsAvLxAu/1Arn4AgA="
