Player,Deck1,Deck2,Deck3,Deck4
"Malygos Druid","Quest Priest","Even Warlock","Odd Quest Warrior",0.5,,MrJPickles
"Spell Hunter","Big Spell Mage","Even Rogue","Recruit Warrior",0.5,,Mystic
"Token Druid","Big Spell Mage","Odd Paladin","Quest Warrior",0.5,,Nated4444
"Taunt Druid","Spell Hunter","Murloc Paladin","Cube Warlock",0.5,,Nicholena
"Spell Hunter","Big Spell Mage","Odd Rogue","Even Warlock",0.5,,OHTEE#1720
"Odd Paladin","Tempo Rogue","Elemental Shaman","Cube Warlock",0.5,,Pandamanfan
"Big Spell Mage","Murloc Paladin","Cube Warlock","Recruit Warrior",0.5,,Pantomime
"Token Druid","Spell Hunter","Odd Paladin","Even Shaman",0.5,,Party4lyfe
"Taunt Druid","Big Spell Mage","Even Warlock","Recruit Warrior",0.5,,Philtor
"Taunt Druid","Spell Hunter","Big Spell Mage","Even Shaman",0.5,,Phoebus
"Taunt Druid","Big Spell Mage","Even Warlock","Quest Warrior",0.5,,pikapwner#1850
"Token Druid","Tempo Mage","Odd Rogue","Shudderwock Shaman",0.5,,pnc
"Spiteful Druid","Spell Hunter","Tempo Mage","Cube Warlock",0.5,,PrettyGood
"Spiteful Druid","Spell Hunter","Odd Rogue","Cube Warlock",0.5,,Primitive
"Token Druid","Big Spell Mage","Control Warlock","Quest Warrior",0.5,,Professor_R
"Spiteful Druid","Dragon Hunter","Tempo Mage","Murloc Paladin",0.5,,Promech
"Taunt Druid","Recruit Hunter","Shudderwock Shaman","Control Warlock",0.5,,Quint11439
"Spell Hunter","Tempo Mage","Control Priest","Recruit Warrior",0.5,,RampageKC
"Spiteful Druid","Tempo Mage","Miracle Rogue","Even Warlock",0.5,,Reaper06
"Token Druid","Miracle Rogue","Shudderwock Shaman","Even Warlock",0.5,,rosty#1208
"Taunt Druid","Elemental Mage","Control Priest","Miracle Rogue",0.5,,Royale
"Token Druid","Odd Rogue","Even Shaman","Cube Warlock",0.5,,Runhesaid
"Spiteful Druid","Spell Hunter","Big Spell Mage","Quest Warrior",0.5,,Ryuksapple
"Tempo Mage","Control Priest","Odd Rogue","Control Warlock",0.5,,SamWynn
"Taunt Druid","Spell Hunter","Shudderwock Shaman","Even Warlock",0.5,,Sheazus
"Spiteful Druid","Big Spell Mage","Quest Priest","Control Warlock",0.5,,Shigg
"Taunt Druid","Murloc Paladin","Shudderwock Shaman","Cube Warlock",0.5,,Sirslim
"Token Druid","Control Priest","Shudderwock Shaman","Recruit Warrior",0.5,,slaviticus
"Taunt Druid","Spell Hunter","Big Spell Mage","Odd Rogue",0.5,,Slysssa
"Token Druid","Spell Hunter","Tempo Mage","Control Warlock",0.5,,SnipedAgain#1736
"Malygos Druid","Spell Hunter","Control Priest","Miracle Rogue",0.5,,Snowy
"Token Druid","Odd Paladin","Even Shaman","Quest Warrior",0.5,,Specialist#11921
"Spell Hunter","Big Spell Mage","Even Warlock","Quest Warrior",0.5,,Stauros
"Token Druid","Miracle Rogue","Even Warlock","Recruit Warrior",0.5,,TAOxEagle
"Taunt Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock",0.5,,Tarei
"Spell Hunter","Even Shaman","Even Warlock","Odd Quest Warrior",0.5,,Tbanhbao
"Token Druid","Shudderwock Shaman","Cube Warlock","Quest Warrior",0.5,,TeamAmerica
"Spell Hunter","Tempo Mage","Miracle Rogue","Even Shaman",0.5,,TheChosenGuy
"Token Druid","Even Shaman","Even Warlock","Odd Warrior",0.5,,TheChronic
"Taunt Druid","Spell Hunter","Miracle Rogue","Cube Warlock",0.5,,TheJordude
"Spiteful Druid","Spell Hunter","Odd Paladin","Quest Rogue",0.5,,Ultimate
"Token Druid","Tempo Mage","Odd Rogue","Zoo Warlock",0.5,,Vandoom#1987
"Devilsaur Druid","Spell Hunter","Odd Paladin","Miracle Rogue",0.5,,Villain#1999
"Spiteful Druid","Spell Hunter","Tempo Mage","Control Priest",0.5,,Wesdiaz
"Spell Hunter","Tempo Mage","Shudderwock Shaman","Even Warlock",0.5,,Willscarlet
"Spell Hunter","Miracle Rogue","Shudderwock Shaman","Cube Warlock",0.5,,Wombutt#1499
"Token Druid","Big Spell Mage","Control Priest","Even Warlock",0.5,,X115
"Token Druid","Even Shaman","Cube Warlock","Recruit Warrior",0.5,,Xifos
"Odd Paladin","Odd Rogue","Even Warlock","Quest Warrior",0.5,,xPowerful1x
"Token Druid","Spell Hunter","Big Spell Mage","Control Priest",0.5,,Yakaam0302
"Recruit Hunter","Odd Paladin","Cube Warlock","Recruit Warrior",0.5,,Yolkions
"Taunt Druid","Miracle Rogue","Cube Warlock","Quest Warrior",0.5,,Zapgaze
"Token Druid","Quest Priest","Miracle Rogue","Even Shaman",0.5,,Zaros
