Vector#2362,24,33,72,105,0,0
Cassia#31875,29,61,44,105,1,35
Threat#2497,23,61,44,105,0,37
Avery#11338,29,56,49,105,0,0
s23ver#2365,18,59,46,105,0,6
サバンナ#11146,26,48,57,105,0,0
xBlyzes#2682,19,69,36,105,1,130
Arsh74#1346,28,59,45,104,0,0
fercho#11937,27,55,49,104,0,10
edmvyrus#1754,31,54,50,104,0,24
N1mro#2774,21,62,42,104,1,0
zCharitoSz#2432,23,43,61,104,0,0
GREAW253#2793,24,55,48,103,0,0
PabUruGaming#1255,23,54,49,103,0,0
Primitive#1274,30,56,47,103,1,8
Pymbette#1203,33,46,57,103,0,20
itchy#2276,18,40,63,103,0,0
Berilio#1780,24,46,57,103,0,0
tidsskrift#2366,25,52,51,103,0,8
Surax#2541,23,51,52,103,0,0
Dan#17581,24,56,47,103,0,13
Lucasdmnasc#1573,30,58,45,103,0,13
Hypno#22145,25,64,38,102,1,71
ChrisPixGC#2847,18,46,56,102,0,0
Blitz#1162,18,68,34,102,1,44
Ericeeeat#4541,25,59,43,102,0,6
Neves#1975,30,59,43,102,0,45
N0lan#11919,20,63,38,101,0,70
choco06743#3149,17,64,37,101,0,9
Chirichan#2225,31,44,57,101,0,0
Spreadnouz#2727,32,41,59,100,0,0
EllenPage#1392,33,42,58,100,0,34
yokopomayoko#2825,25,53,47,100,0,31
CrisL#1932,30,49,51,100,0,0
gouletateur2#1534,27,53,47,100,0,0
D3oxy#1621,19,53,47,100,0,6
WetNoodle#1138,22,34,65,99,0,0
AyRoK#2374,18,66,33,99,1,19
레닌#31792,22,55,44,99,0,0
rayC#11391,20,61,38,99,1,66
Topher702x#1808,26,47,52,99,0,0
Emre#1812,28,47,52,99,0,0
pHi11Colins#2149,25,50,49,99,0,0
Valerioperru#2460,23,51,47,98,0,0
洨美冰淇淋#4901,23,48,50,98,0,0
Griffons#2123,17,60,38,98,0,0
wth3ck#2739,18,59,39,98,0,0
SwaggyG#1193,21,61,37,98,0,110
Uraharai#2735,24,57,41,98,0,15
DimitriKazov#1498,27,60,37,97,1,60
MegaHertz#11957,30,43,54,97,0,0
SDW#1848,21,45,52,97,0,0
Elek#21835,23,44,53,97,0,0
NoHandsGamer#1424,20,61,36,97,1,21
awowa#1497,38,34,63,97,0,0
DuVlad#1722,20,51,45,96,0,7
XWhyZ#11826,17,60,36,96,0,7
laasque#2314,32,46,50,96,0,22
CoravStenom#2513,31,44,52,96,0,12
Khamûl#2139,19,64,31,95,1,0
blater#31971,15,46,49,95,0,0
Gann#2957,34,42,53,95,0,24
doughnut#11386,20,48,46,94,0,0
Redtea#3252,20,59,35,94,1,41
Zbaydaa#2786,23,44,50,94,0,0
Izzy#1553,25,56,38,94,0,16
Mikka#6603,33,48,46,94,0,32
Jarqoni#2474,23,50,44,94,0,0
heisnotaxel#1382,30,50,44,94,0,71
Haanuman#1683,27,40,53,93,0,0
Osnildo#1955,33,47,46,93,0,23
agz00#1477,26,47,46,93,0,0
Pillo#1303,22,54,39,93,0,12
GoSuForEVeR#2720,21,51,42,93,0,10
LooGiiQQ#2195,22,59,34,93,0,43
Nohurry#2368,19,51,42,93,0,0
美式重烘焙#3629,20,48,45,93,0,0
SebastianJo#2642,18,61,32,93,0,61
supersam710#1291,26,41,52,93,0,0
Deldeck#2116,35,47,46,93,0,0
HMMRh#3861,19,60,33,93,1,0
Morgus#1419,26,43,49,92,0,0
cariboukoko4#2667,19,44,48,92,0,0
choingum#2779,31,37,55,92,0,0
MieMie#1671,34,42,50,92,0,0
Agazapado#2498,20,57,35,92,0,9
joster#1176,22,56,36,92,0,0
聖水洋洋#4496,18,55,36,91,0,0
MokraniChile#1591,29,46,45,91,0,25
매매매#3693,28,36,55,91,0,0
Yunzi#11819,14,53,38,91,0,0
Newgate#1648,35,36,55,91,0,0
chessmanxblt#2554,20,43,48,91,0,0
StinkyTofu#11261,25,44,47,91,0,0
Paul#25773,18,42,49,91,0,0
Orlles#1178,36,40,51,91,0,0
Nakraroxs#2241,23,44,46,90,0,0
Dcon#11969,23,47,43,90,0,0
Sequinox#1869,28,54,36,90,1,100
HSKeDaiBiao#1597,25,53,37,90,0,33
Mazambik#21514,23,52,38,90,0,0
TheBriefcase#1992,27,49,41,90,0,0
ute1234#1252,18,60,30,90,1,47
Anderson#13870,43,30,60,90,0,0
Crincrin#2427,27,23,66,89,0,0
KNMDehua#4497,19,58,31,89,1,0
Abe#1810,20,26,63,89,0,0
XnkBlizzard#1174,20,54,35,89,0,0
Wreckloose#1413,24,37,52,89,0,0
Akogare#1963,27,44,45,89,0,7
albo21#1500,24,43,46,89,0,38
PoisonDamage#21617,22,42,47,89,0,0
INER#2925,18,58,30,88,1,95
GreenSheep#2290,22,53,35,88,1,110
Shane#1208,23,44,44,88,0,0
xBlaine#2906,27,51,37,88,0,20
Dabs#1528,21,52,36,88,0,23
Rockchuvak#2827,23,39,49,88,0,0
Cursed#21642,17,57,31,88,1,20
Arestidios#2184,21,43,44,87,0,0
DarkChaos#21468,24,42,45,87,0,0
Bloedrad#2341,34,20,67,87,0,0
Pemderix#2618,21,47,40,87,0,6
Maximal#2494,18,56,31,87,0,10
czosnak#2850,12,54,32,86,1,10
xKumei#1830,21,49,37,86,0,14
Osyris#2146,22,52,34,86,1,0
