"battletag","class","deckstring"
"Rosty#1208","DRUID","AAECAZICCFbeBe0FmdMCm+gC/esCmu4C5PsCC0Bf6QHEBuQIoM0Ch84CmNICntIC29MCv/ICAA=="
"Rosty#1208","WARRIOR","AAECAQcKkQP8BN4F08UCz8cCw+oCmu4CkvgCnvgCoIADCkuiAqIE/webwgKixwLK5wKD+wKO+wKe+wIA"
"Rosty#1208","HUNTER","AAECAR8EhwT+DOnSAobTAg2NAagCtQPJBJcI2wnd0gLf0gLj0gLh4wLq4wLc7gKH+wIA"
"Rosty#1208","PRIEST","AAECAa0GBpACxQTTxQKJzQKQ0wLi+AIMoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAonxAr3zAgA="
"Gladen#11397","HUNTER","AAECAR8K3gX4CO0J08UCm8sChtMCnOICtuoCy+wCgPMCCo0BlwirwgLYwgKczQLd0gKL4QLh4wLy8QK5+AIA"
"Gladen#11397","DRUID","AAECAZICBiT3A5vLAo7QApnTAvX8AgxAX/0C5gXkCKDNAofOApjSAp7SAtvTAtfvAuL4AgA="
"Gladen#11397","WARLOCK","AAECAfqUAwryBfsGigegzgKmzgLCzgKX0wLq5gLL7ALN9AIKigG2B+EH+weNCOfLAvHQAv3QAojSAtjlAgA="
"Gladen#11397","SHAMAN","AAECAaoICPsM08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4F/wWyBpfBAsfBApvLAvPnAu/xAgA="
"Ike#1171","SHAMAN","AAECAaoICCDTxQLCzgLrzwKc4gKn7gLv9wKggAML9QTeBf4F68ICysMCm8sC+9MC0eEClugC3+kC4vgCAA=="
"Ike#1171","DRUID","AAECAZICApnTAvX8Ag5AX/0C5gXkCMrDApvLAqDNAofOAo7QAp7SAtvTAtfvAuL4AgA="
"Ike#1171","ROGUE","AAECAaIHCMsDrwSfwgLKwwL96gKe+ALn+gL6/gILjALUBfMF9QXdCIHCAuvCAtHhAovlAqbvAuL4AgA="
"Ike#1171","WARLOCK","AAECAfqUAwjyBfsHoM4Cps4Cws4Cl9MCy+wCzfQCC4oB+waKB7YH4QeNCOfLAvHQAv3QAojSAtjlAgA="
"zaguios#1765","PALADIN","AAECAZ8FBq8EpwXrwgL96gKe+ALi+AIMRvMF9QX5CoPHArjHAuPLAvvTAtHhAtblArXmAtb+AgA="
"zaguios#1765","WARLOCK","AAECAf0GApziAo+CAw4whAH3BM4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA="
"zaguios#1765","DRUID","AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA"
"zaguios#1765","ROGUE","AAECAaIHBrICrwSfwgL96gKe+ALn+gIMjALLA9QF8wX1Bd0IgcIC68IC0eECi+UCpu8C4vgCAA=="
"ironFIRE#11368","WARLOCK","AAECAfqUAwiTBJvCAsnCAtPFApfTAtjnAtvpApz4AguKAfcEtgfhB+fLAvLQAvjQAojSAovhAvzlAujnAgA="
"ironFIRE#11368","HUNTER","AAECAYoWCt4F+AjbCdPFApvLAobTApziArbqAsvsAoDzAgqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA=="
"ironFIRE#11368","DRUID","AAECAbSKAwbKwwLCzgKv0wLm0wLx6gLd6wIMQF/pAcQG5AjJxwKU0gKY0gKe0gKL4QKE5gKN8AIA"
"ironFIRE#11368","SHAMAN","AAECAfe5AgjeBfsM08UCq+cCw+oCp+4C7/cCmfsCC4EE9QT+Bf8Fsgb2B5fBAsfBApvLAvPnAu/xAgA="
"fr0zen#1184","DRUID","AAECAbSKAwbEBsLOAq/TAubTAo3mAvHqAgxAX+kB5AjJxwKU0gKY0gKe0gKL4QKE5gLd6wKN8AIA"
"fr0zen#1184","WARRIOR","AAECAQcKuAP8BNPFAqLHAs/HAsPqApruApL4Ap74AqCAAwpLogKiBN4F/webwgLK5wKD+wKO+wKe+wIA"
"fr0zen#1184","HUNTER","AAECAR8I3gX4CIbTApziArbqAsvsAoDzAqCAAwuNAZcIq8IC2MICm8sCnM0C3dICi+EC4eMC8vECufgCAA=="
"fr0zen#1184","WARLOCK","AAECAfqUAwqjAfsGigf7B6DOAqbOAsLOApfTAsvsAs30AgryBbYH4QeNCOfLAvHQAv3QAojSAtjlAurmAgA="
"bloodyface#1414","WARLOCK","AAECAfqUAwqjAfIFigf7B6DOAqbOAsLOApfTAsvsAs30Agr7BrYH4QeNCOfLAvHQAv3QAojSAtjlAurmAgA="
"bloodyface#1414","HUNTER","AAECAR8I3gX4CNPFAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICm8sCnM0C3dICi+EC4eMC8vECufgCAA=="
"bloodyface#1414","DRUID","AAECAZICCFa0A8UE4scCws4CmdMCm+gC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA=="
"bloodyface#1414","ROGUE","AAECAaIHBogF/MEChsICgNMCz+ECw+oCDMQBnALtAp8DmwXUBYYJl8ECx9MC2+MC9uwC4vgCAA=="
"yoitsflo#1202","HUNTER","AAECAR8IxwOHBMkE180ChtMCy+wCgPMCp4IDC54BqAK1A+sHlwj+DI7DAp3MAt/SAuPSAovlAgA="
"yoitsflo#1202","DRUID","AAECAZICBI7QApnTAuL4AvX8Ag1AX/0C9wPmBeQIm8sCoM0Ch84CmNICntIC29MC1+8CAA=="
"yoitsflo#1202","ROGUE","AAECAaIHBsgDrwSdDZ74AuL4Auf6AgyMAssD1AXzBfUF3QiBwgLrwgLKwwLR4QKL5QKm7wIA"
"yoitsflo#1202","PALADIN","AAECAYsWBK8Eg9QC/eoCnvgCDUbzBfUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA"
"cowboys367#1568","HUNTER","AAECAR8ItQPHA4cEyQSG0wLL7AKA8wKnggMLngGoAusHlwj+DI7DAp3MAtfNAt/SAuPSAovlAgA="
"cowboys367#1568","ROGUE","AAECAYO6AgSyAq8EnvgC5/oCDYwCywPUBfMF9QXdCIHCAp/CAuvCAtHhAovlAqbvAuL4AgA="
"cowboys367#1568","WARLOCK","AAECAf0GCPIFigegzgKmzgLCzgKX0wLL7ALN9AIL+wa2B+EH+weNCOfLAvHQAv3QAojSAtjlAurmAgA="
"cowboys367#1568","DRUID","AAECAZICBPcDm8sCmdMC9fwCDUBf/QLmBeQIoM0Ch84CjtACmNICntIC29MC1+8C4vgCAA=="
"Apxvoid#11872","WARLOCK","AAECAf0GCqMB+waKB/sHoM4Cps4Cws4Cl9MCy+wCzfQCCvIFtgfhB40I58sC8dAC/dACiNIC2OUC6uYCAA=="
"Apxvoid#11872","WARRIOR","AAECAQcKuAP8BNPFAqLHAs/HAsPqApruApL4Ap74AqCAAwpLogKiBN4F/webwgLK5wKD+wKO+wKe+wIA"
"Apxvoid#11872","DRUID","AAECAZICBsQGws4Cr9MC5tMCjeYC8eoCDEBf6QHkCMnHApTSApjSAp7SAovhAoTmAt3rAo3wAgA="
"Apxvoid#11872","HUNTER","AAECAR8I3gX4CIbTApziArbqAsvsAoDzAqCAAwuNAZcIq8IC2MICm8sCnM0C3dICi+EC4eMC8vECufgCAA=="
"Kevor24#1127","WARLOCK","AAECAfqUAwqTAfIF+waKB/gMoM4Cws4Cl9MCy+wCzfQCCooBtgfhB/sHjQjnywLx0AL90AKI0gLY5QIA"
"Kevor24#1127","ROGUE","AAECAaIHCLICyAOvBPMFnvgCx/gC4vgC5/oCC4wCywPUBfUF3QiBwgKfwgLrwgLR4QKL5QKm7wIA"
"Kevor24#1127","HUNTER","AAECAR8ItQPHA4cEyQSG0wLL7AKA8wKnggMLngGoAusHlwj+DI7DAp3MAtfNAt/SAuPSAovlAgA="
"Kevor24#1127","SHAMAN","AAECAaoICiCZAqzCAvPCAqDOAsLOAvbsAqfuAs30AoqAAwq9AdMB/gXwB7EIkcECm8sClugClO8CsPACAA=="
"wiz#11841","DRUID","AAECAZICCFa0A8UE3gWZ0wKb6ALk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA"
"wiz#11841","PRIEST","AAECAa0GCJACxQSQB9YKysMCic0CoM4CkNMCC6EE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA"
"wiz#11841","WARLOCK","AAECAfqUAwyTAfIFigf7B/gMoM4Cws4Cl9MC2OcCl+gCy+wCzfQCCfsGtgfhB40I58sC8dAC/dACiNIC2OUCAA=="
"wiz#11841","ROGUE","AAECAYO6AgSGwgKA0wLP4QLD6gINxAGcAu0CnwOIBZsF1AWGCZfBAvzBAtvjAvbsAuL4AgA="
"lnguagehackr#1412","SHAMAN","AAECAaoICN4F+wzTxQKr5wLD6gKn7gLv9wKZ+wILgQT1BP4F/wWyBvYHl8ECx8ECm8sC8+cC7/ECAA=="
"lnguagehackr#1412","DRUID","AAECAZICCMQGysMCh84Cws4Cr9MC5tMC8eoC3esCC0Bf6QHkCMnHApTSApjSAp7SAovhAoTmAo3wAgA="
"lnguagehackr#1412","ROGUE","AAECAaIHBogF/MEChsICgNMCz+ECw+oCDMQBnALtAp8DmwXUBYYJl8ECx9MC2+MC9uwC4vgCAA=="
"lnguagehackr#1412","WARLOCK","AAECAf0GCJME8gXJwgKX0wKd4gLY5wLb6QKc+AILigH3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA"
"noblord#1509","DRUID","AAECAZICCFa0A8UE4scCws4CmdMCm+gC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA=="
"noblord#1509","ROGUE","AAECAaIHBogF/MEChsICgNMCz+ECw+oCDMQBnALtAp8DmwXUBYYJl8ECx9MC2+MC9uwC4vgCAA=="
"noblord#1509","SHAMAN","AAECAaoICP8F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA="
"noblord#1509","WARLOCK","AAECAf0GCqMB8gWKB/sHoM4Cps4Cws4Cl9MCy+wCzfQCCvsGtgfhB40I58sC8dAC/dACiNIC2OUC6uYCAA=="
